gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,componente,tamanho_componente,origem,posicao_ranking,relacionado,vizinhos_no_corpus,ligacoes_possiveis_no_corpus
sprockets,lib/sprockets/jst_processor.rb,73c5a5316bd1,assets,4,8,60,40,0.0,0,0.0,5,2,5,1.0,isolado,sprockets#20,1,diversidade,47,False,0,0
sprockets,lib/sprockets/loader.rb,73c5a5316bd1,assets,29.6,92,0,100,4.0,0,0.0,8,2,8,1.0,isolado,sprockets#3,17,grupo,,True,7,7
sprockets,lib/sprockets/mime.rb,73c5a5316bd1,assets,8.2,19,0,100,1.0,0,0.0,5,2,4,0.8,isolado,sprockets#3,17,grupo,,True,2,2
sprockets,lib/sprockets/path_dependency_utils.rb,73c5a5316bd1,assets,4.7,8,0,33,1.0,0,0.0,3,2,3,1.0,isolado,sprockets#3,17,grupo,,True,2,2
sprockets,lib/sprockets/path_digest_utils.rb,73c5a5316bd1,assets,6.3,11,0,67,1.0,0,0.0,3,2,3,1.0,isolado,sprockets#3,17,grupo,,True,3,3
sprockets,lib/sprockets/path_utils.rb,73c5a5316bd1,assets,8.9,18,0,71,0.5,0,0.0,21,2,21,1.0,isolado,sprockets#3,17,grupo,,True,6,6
sprockets,lib/sprockets/paths.rb,73c5a5316bd1,assets,5.9,13,0,86,1.0,0,0.0,7,2,6,0.857,isolado,sprockets#3,17,grupo,,True,3,3
sprockets,lib/sprockets/processing.rb,73c5a5316bd1,assets,6.6,23,0,63,1.5,0,0.0,19,2,14,0.737,isolado,sprockets#3,17,grupo,,True,4,4
sprockets,lib/sprockets/processor_utils.rb,73c5a5316bd1,assets,7.3,17,11,78,0.33,1,0.0,9,3,9,1.0,isolado,sprockets#3,17,grupo,,True,3,3
sprockets,lib/sprockets/resolve.rb,73c5a5316bd1,assets,13.7,28,0,75,1.5,0,0.0,12,2,12,1.0,isolado,sprockets#3,17,grupo,,True,4,4
sprockets,lib/sprockets/transformers.rb,73c5a5316bd1,assets,10.9,25,0,100,1.5,0,0.0,8,2,8,1.0,isolado,sprockets#3,17,grupo,,True,3,3
sprockets,lib/sprockets/uri_utils.rb,73c5a5316bd1,assets,7.6,19,0,64,0.5,0,0.0,11,2,11,1.0,isolado,sprockets#3,17,grupo,,True,4,4
sprockets,lib/sprockets/utils.rb,73c5a5316bd1,assets,14.8,26,0,75,0.5,0,50.0,8,2,8,1.0,isolado,sprockets#3,17,grupo,,True,6,6
stackprof,lib/stackprof/report.rb,4367efa4b8bc,profiler and optimization,19.2,171,9,85,0.0,0,0.0,34,2,32,0.941,isolado,stackprof#1,1,diversidade,48,False,0,0
state_machines,lib/state_machines/machine/configuration.rb,219b43ea588f,state machines,21,55,0,100,1.67,0,100.0,5,3,5,1.0,isolado,state_machines#2,20,diversidade,3,False,0,0
state_machines,lib/state_machines/machine/parsing.rb,219b43ea588f,state machines,14,18,0,100,0.0,0,0.0,4,3,4,1.0,isolado,state_machines#13,1,diversidade,87,False,0,0
thin,lib/rack/adapter/loader.rb,84a5188612d8,web servers,15.7,37,100,33,0.0,1,0.0,3,3,3,1.0,isolado,thin#0,10,diversidade,103,False,0,0
thin,lib/thin/backends/unix_server.rb,84a5188612d8,web servers,4.6,12,0,14,0.0,2,14.3,7,4,6,0.857,isolado,thin#5,1,diversidade,27,False,0,0
twilio-ruby,lib/twilio-ruby/rest/api/v2010.rb,c58e213a6f04,third-party apis,3.3,11,0,7,0.0,2,0.0,29,4,29,1.0,isolado,twilio-ruby#15,1,diversidade,44,False,0,0
tzinfo,lib/tzinfo/timezone.rb,d5893c99bbcd,date and time processing,5.5,36,31,33,0.17,1,0.0,48,6,45,0.938,isolado,tzinfo#1,15,diversidade,36,False,0,0
vcr,lib/vcr/cassette/serializers/json.rb,5dcacdf69bd6,testing,5,7,0,0,0.75,0,0.0,3,4,3,1.0,isolado,vcr#8,1,diversidade,15,False,0,0
wisper,lib/wisper/global_listeners.rb,4569343e353e,business logic,3.9,8,42,83,0.5,0,0.0,12,2,12,1.0,isolado,wisper#0,5,diversidade,83,False,0,0
zeitwerk,lib/zeitwerk/cref.rb,607973fc0bd8,code loaders,3.4,5,0,89,1.0,0,33.3,9,1,9,1.0,isolado,zeitwerk#0,1,diversidade,89,False,0,0
