gem,pasta,rb,e_suite
rubocop-performance,spec,56,True
rubocop-performance,tasks,1,False
rubocop-rails,lib,157,False
rubocop-rails,spec,149,True
rubocop-rails,tasks,1,False
rubocop-rspec,lib,147,False
rubocop-rspec,spec,140,True
rufus-scheduler,spec,24,True
rufus-scheduler,lib,8,False
rufus-scheduler,misc,7,False
savon,spec,38,True
savon,lib,26,False
sawyer,lib,8,False
sawyer,test,5,True
sawyer,example,2,False
selenium-webdriver,lib,201,False
selenium-webdriver,spec,127,True
selenium-webdriver,support,5,False
sentry-ruby,sentry-ruby,172,False
sentry-ruby,sentry-rails,114,False
sentry-ruby,sentry-sidekiq,18,False
sentry-ruby,sentry-opentelemetry,13,False
sentry-ruby,sentry-yabeda,9,False
sentry-ruby,spec,8,True
sentry-ruby,sentry-resque,8,False
sentry-ruby,sentry-delayed_job,7,False
sentry-ruby,bin,1,False
sentry-ruby,lib,1,False
shoulda-matchers,spec,144,True
shoulda-matchers,lib,133,False
shoulda-matchers,doc_config,3,False
shoulda-matchers,.,2,False
shoulda-matchers,tasks,1,False
simplecov,spec,163,True
simplecov,lib,125,False
simplecov,test_projects,97,False
simplecov,benchmarks,15,False
slack-notifier,spec,14,True
slack-notifier,lib,13,False
slop,test,8,True
slop,lib,7,False
spring,lib,30,False
spring,test,17,True
sprockets,lib,80,False
sprockets,test,45,True
stackprof,lib,5,False
stackprof,test,4,True
stackprof,.,1,False
stackprof,ext,1,False
state_machines,test,446,True
state_machines,lib,52,False
terminal-table,lib,10,False
terminal-table,examples,8,False
terminal-table,spec,7,True
thin,spec,42,True
thin,lib,26,False
thin,gems,4,False
thin,example,2,False
thin,site,2,False
thin,benchmark,1,False
thin,ext,1,False
tilt,test,42,True
tilt,lib,39,False
timecop,test,17,True
timecop,lib,5,False
twilio-ruby,lib,747,False
twilio-ruby,spec,22,True
twilio-ruby,cluster,3,False
twilio-ruby,examples,3,False
typhoeus,lib,43,False
typhoeus,spec,39,True
typhoeus,perf,2,False
tzinfo,test,92,True
tzinfo,lib,49,False
vcr,spec,43,True
vcr,lib,38,False
vcr,features,3,True
virtus,spec,69,True
virtus,lib,34,False
warden,spec,22,True
warden,lib,14,False
webmock,spec,62,True
webmock,lib,61,False
webmock,test,4,True
webmock,minitest,3,False
will_paginate,spec,19,True
will_paginate,lib,19,False
will_paginate,environments,8,False
will_paginate,spec-non-rails,3,False
will_paginate,.,1,False
wisper,spec,14,True
wisper,lib,13,False
yajl-ruby,spec,17,True
yajl-ruby,lib,15,False
yajl-ruby,benchmark,8,False
yajl-ruby,examples,8,False
yajl-ruby,ext,1,False
zeitwerk,test,54,True
zeitwerk,lib,25,False
