gem,nameerror,recuperados_pela_ordem,continuam_a_falhar
brakeman,40,1,39
rspec,40,38,2
doorkeeper,31,11,20
activerecord,26,25,1
byebug,22,22,0
sentry-ruby,12,1,11
devise,10,0,10
rubocop,9,5,4
active_model_serializers,3,0,3
activesupport,6,6,0
