gem,repo_lista,repo_declarado,difere,erro
rqrcode,whomwah/rqrcode,whomwah/rqrcode,False,
danger,danger/danger,danger/danger,False,
image_processing,janko/image_processing,janko/image_processing,False,
debug,ruby/debug,ruby/debug,False,
letter_opener,ryanb/letter_opener,ryanb/letter_opener,False,
ransack,activerecord-hackery/ransack,activerecord-hackery/ransack,False,
wisper,krisleech/wisper,krisleech/wisper,False,
pastel,piotrmurach/pastel,piotrmurach/pastel,False,
gitlab,NARKOZ/gitlab,NARKOZ/gitlab,False,
eye,kostya/eye,kostya/eye,False,
roo,roo-rb/roo,roo-rb/roo,False,
doorkeeper,doorkeeper-gem/doorkeeper,doorkeeper-gem/doorkeeper,False,
premailer-rails,fphilipe/premailer-rails,fphilipe/premailer-rails,False,
gli,davetron5000/gli,davetron5000/gli,False,
better_errors,BetterErrors/better_errors,BetterErrors/better_errors,False,
geocoder,alexreisner/geocoder,alexreisner/geocoder,False,
yajl-ruby,brianmario/yajl-ruby,brianmario/yajl-ruby,False,
pundit,varvet/pundit,varvet/pundit,False,
diffy,samg/diffy,samg/diffy,False,
will_paginate,mislav/will_paginate,mislav/will_paginate,False,
logging,TwP/logging,TwP/logging,False,
aasm,aasm/aasm,aasm/aasm,False,
mongo,mongodb/mongo-ruby-driver,mongodb/mongo-ruby-driver,False,
prawn,prawnpdf/prawn,prawnpdf/prawn,False,
savon,savonrb/savon,savonrb/savon,False,
