conjunto,modulos,gems,categorias,metodos,mediana_loc_medio,mediana_pct_singleton,mediana_pct_duck,mediana_mixins_por_classe,mediana_profundidade_heranca,mediana_metaprog_por_100,mediana_formas
corpus de 400,400,108,59,6118,6.9,14.0,67.0,0.0,0.0,0.0,6.0
corpus de 500,500,112,59,7767,6.9,9.0,67.0,0.0,0.0,0.0,6.0
corpus de 600,600,117,59,9442,7.0,8.0,67.0,0.0,0.0,0.0,7.0
