chao_formas,X=0.0,X=0.3,X=0.4,X=0.5,X=0.6,X=0.7
1,8776,8658,8519,8301,7758,7372
2,7426,7373,7295,7077,6593,6207
3,6302,6270,6202,6008,5551,5253
4,5351,5324,5268,5092,4643,4381
5,4628,4604,4556,4391,3979,3746
6,3969,3951,3909,3755,3375,3173
