proporcao_minima,sobram,saem,maior_que_sai,formas_do_maior_que_sai
0.0,6302,0,,
0.3,6270,32,twilio-ruby/lib/twilio-ruby/twiml/voice_response.rb,28
0.4,6202,100,twilio-ruby/lib/twilio-ruby/twiml/voice_response.rb,28
0.5,6008,294,twilio-ruby/lib/twilio-ruby/twiml/voice_response.rb,28
0.6,5551,751,rdoc/lib/rdoc/markdown.rb,170
0.7,5253,1049,rdoc/lib/rdoc/markdown.rb,170
