chao_formas,sobram,saem,metodos_que_levam,pct_dos_metodos
1,9074,0,0,0.0
2,7621,1453,1929,2.0
3,6443,2631,4757,4.9
4,5451,3623,8164,8.5
5,4700,4374,11681,12.1
6,4028,5046,15677,16.3
